F1,TP,Total pred,Total spindle
0.18867924528301885,855.0,4896.0,4167.0
0.17434428036147234,791.0,4896.0,4178.0
0.13924748979366655,631.0,4896.0,4167.0
0.1456150027578599,660.0,4896.0,4169.0
0.14366103939093017,651.0,4896.0,4167.0
0.15494978479196558,702.0,4896.0,4165.0
0.13074633447249476,593.0,4896.0,4175.0
0.14142305570876998,641.0,4896.0,4169.0
0.16249586594642268,737.0,4896.0,4175.0
0.15584988962472407,706.0,4896.0,4164.0
0.1363185177015551,618.0,4896.0,4171.0
0.13864664974058946,628.0,4896.0,4163.0
0.1303197353914002,591.0,4896.0,4174.0
0.16453462726069695,746.0,4896.0,4172.0
0.15773218619016105,715.0,4896.0,4170.0
0.16843267108167773,763.0,4896.0,4164.0
0.18294026890015433,830.0,4896.0,4178.0
0.1586671080216264,719.0,4896.0,4167.0
0.16090939189934886,729.0,4896.0,4165.0
0.15298013245033112,693.0,4896.0,4164.0
0.16780595369349502,761.0,4896.0,4174.0
0.15848140381856304,718.0,4896.0,4165.0
0.1664462081128748,755.0,4896.0,4176.0
0.1637065637065637,742.0,4896.0,4169.0
0.14916151809355693,676.0,4896.0,4168.0
0.16854428981665562,763.0,4896.0,4158.0
0.15231788079470202,690.0,4896.0,4164.0
0.161112337232399,730.0,4896.0,4166.0
0.16146465203485166,732.0,4896.0,4171.0
0.1515051273569302,687.0,4896.0,4173.0
0.14533024589260116,659.0,4896.0,4173.0
0.16079514080618446,728.0,4896.0,4159.0
0.14952034402911016,678.0,4896.0,4173.0
0.16390545615197702,742.0,4896.0,4158.0
0.17676266137040716,801.0,4896.0,4167.0
0.15640855945290097,709.0,4896.0,4170.0
0.17525659419490122,794.0,4896.0,4165.0
0.16587520706791828,751.0,4896.0,4159.0
0.16308065761888998,739.0,4896.0,4167.0
0.156750193178055,710.0,4896.0,4163.0
0.17381713907576926,788.0,4896.0,4171.0
0.19268077601410938,874.0,4896.0,4176.0
0.17941079112876532,813.0,4896.0,4167.0
0.1674942072161536,759.0,4896.0,4167.0
0.14829526646805694,672.0,4896.0,4167.0
0.1750440917107584,794.0,4896.0,4176.0
0.18885824600110312,856.0,4896.0,4169.0
0.1920529801324503,870.0,4896.0,4164.0
0.17543084401237294,794.0,4896.0,4156.0
0.15764524308235034,715.0,4896.0,4175.0
0.18785139455407346,852.0,4896.0,4175.0
0.20525270359743986,930.0,4896.0,4166.0
0.23303541873551806,1056.0,4896.0,4167.0
0.19527802294792587,885.0,4896.0,4168.0
0.14679911699779247,665.0,4896.0,4164.0
0.20970058557065516,949.0,4896.0,4155.0
0.2196467991169978,995.0,4896.0,4164.0
0.23844711591485607,1081.0,4896.0,4171.0
0.22727774710104912,1029.0,4896.0,4159.0
0.20390599139357826,924.0,4896.0,4167.0
0.30199493001212385,1370.0,4896.0,4177.0
0.25648956147133545,1161.0,4896.0,4157.0
0.23691460055096417,1075.0,4896.0,4179.0
0.28192957280052994,1277.0,4896.0,4163.0
0.2674611055941741,1212.0,4896.0,4167.0
0.2962717846900508,1343.0,4896.0,4170.0
0.2096542582569314,949.0,4896.0,4157.0
0.22930920326638712,1039.0,4896.0,4166.0
0.1973509933774834,894.0,4896.0,4164.0
0.14114014775609218,640.0,4896.0,4173.0
0.22555396317936283,1023.0,4896.0,4175.0
0.14655647382920112,665.0,4896.0,4179.0
0.22925860547219773,1039.0,4896.0,4168.0
0.10454344949272167,474.0,4896.0,4172.0
0.17967372134038798,815.0,4896.0,4176.0
0.13393645189761696,607.0,4896.0,4168.0
0.24225724677614902,1099.0,4896.0,4177.0
